,artist,date,song,year
1387,reo speedwagon,1985-03-09,can t fight this feeling,1985
1388,reo speedwagon,1985-03-16,can t fight this feeling,1985
1389,reo speedwagon,1985-03-23,can t fight this feeling,1985
1390,phil collins,1985-03-30,one more night,1985
1391,phil collins,1985-04-06,one more night,1985
1392,usa for africa,1985-04-13,we are the world,1985
1393,usa for africa,1985-04-20,we are the world,1985
1394,usa for africa,1985-04-27,we are the world,1985
1395,usa for africa,1985-05-04,we are the world,1985
1396,madonna,1985-05-11,crazy for you,1985
1397,simple minds,1985-05-18,don t you (forget about me),1985
1398,wham!,1985-05-25,everything she wants,1985
1399,wham!,1985-06-01,everything she wants,1985
1400,tears for fears,1985-06-08,everybody wants to rule the world,1985
1401,tears for fears,1985-06-15,everybody wants to rule the world,1985
1402,bryan adams,1985-06-22,heaven,1985
1403,bryan adams,1985-06-29,heaven,1985
1404,phil collins,1985-07-06,sussudio,1985
1405,duran duran,1985-07-13,a view to a kill,1985
1406,duran duran,1985-07-20,a view to a kill,1985
1407,paul young,1985-07-27,everytime you go away,1985
1408,tears for fears,1985-08-03,shout,1985
1409,tears for fears,1985-08-10,shout,1985
1410,tears for fears,1985-08-17,shout,1985
1411,huey lewis,1985-08-24,the power of love,1985
1412,huey lewis,1985-08-31,the power of love,1985
1413,john parr,1985-09-07,st. elmo s fire (man in motion),1985
1414,john parr,1985-09-14,st. elmo s fire (man in motion),1985
1415,dire straits,1985-09-21,money for nothing,1985
1416,dire straits,1985-09-28,money for nothing,1985
1417,dire straits,1985-10-05,money for nothing,1985
1418,ready for the world,1985-10-12,oh sheila,1985
1419,a-ha,1985-10-19,take on me,1985
1420,whitney houston,1985-10-26,saving all my love for you,1985
1421,stevie wonder,1985-11-02,part-time lover,1985
1422,jan hammer,1985-11-09,miami vice theme,1985
1423,starship,1985-11-16,we built this city,1985
1424,starship,1985-11-23,we built this city,1985
1425,phil collins/marilyn martin,1985-11-30,separate lives (theme from white nights),1985
1426,mr. mister,1985-12-07,broken wings,1985
1427,mr. mister,1985-12-14,broken wings,1985
1428,lionel richie,1985-12-21,"say you, say me (title song from white nights)",1985
1429,lionel richie,1985-12-28,"say you, say me (title song from white nights)",1985
1430,lionel richie,1986-01-04,"say you, say me (title song from white nights)",1986
1431,lionel richie,1986-01-11,"say you, say me (title song from white nights)",1986
1432,dionne,1986-01-18,that s what friends are for,1986
1433,dionne,1986-01-25,that s what friends are for,1986
1434,dionne,1986-02-01,that s what friends are for,1986
1435,dionne,1986-02-08,that s what friends are for,1986
1436,whitney houston,1986-02-15,how will i know,1986
1437,whitney houston,1986-02-22,how will i know,1986
1438,mr. mister,1986-03-01,kyrie,1986
1439,mr. mister,1986-03-08,kyrie,1986
1440,starship,1986-03-15,sara,1986
1441,heart,1986-03-22,these dreams,1986
1442,falco,1986-03-29,rock me amadeus,1986
1443,falco,1986-04-05,rock me amadeus,1986
1444,falco,1986-04-12,rock me amadeus,1986
1445,prince and the revolution,1986-04-19,kiss,1986
1446,prince and the revolution,1986-04-26,kiss,1986
1447,robert palmer,1986-05-03,addicted to love,1986
1448,pet shop boys,1986-05-10,west end girls,1986
1449,whitney houston,1986-05-17,greatest love of all,1986
1450,whitney houston,1986-05-24,greatest love of all,1986
1451,whitney houston,1986-05-31,greatest love of all,1986
1452,madonna,1986-06-07,live to tell,1986
1453,patti labelle,1986-06-14,on my own,1986
1454,patti labelle,1986-06-21,on my own,1986
1455,patti labelle,1986-06-28,on my own,1986
1456,billy ocean,1986-07-05,there ll be sad songs (to make you cry),1986
1457,simply red,1986-07-12,holding back the years,1986
1458,genesis,1986-07-19,invisible touch,1986
1459,peter gabriel,1986-07-26,sledgehammer,1986
1460,peter cetera,1986-08-02,"glory of love (theme from ""the karate kid part ii"")",1986
1461,peter cetera,1986-08-09,"glory of love (theme from ""the karate kid part ii"")",1986
1462,madonna,1986-08-16,papa don t preach,1986
1463,madonna,1986-08-23,papa don t preach,1986
1464,steve winwood,1986-08-30,higher love,1986
1465,bananarama,1986-09-06,venus,1986
1466,berlin,1986-09-13,"take my breath away (love theme from ""top gun"")",1986
1467,huey lewis,1986-09-20,stuck with you,1986
1468,huey lewis,1986-09-27,stuck with you,1986
1469,huey lewis,1986-10-04,stuck with you,1986
1470,janet jackson,1986-10-11,when i think of you,1986
1471,janet jackson,1986-10-18,when i think of you,1986
1472,cyndi lauper,1986-10-25,true colors,1986
1473,cyndi lauper,1986-11-01,true colors,1986
1474,boston,1986-11-08,amanda,1986
1475,boston,1986-11-15,amanda,1986
1476,the human league,1986-11-22,human,1986
1477,bon jovi,1986-11-29,you give love a bad name,1986
1478,peter cetera with amy grant,1986-12-06,the next time i fall,1986
1479,bruce hornsby,1986-12-13,the way it is,1986
1480,bangles,1986-12-20,walk like an egyptian,1986
1481,bangles,1986-12-27,walk like an egyptian,1986
1482,bangles,1987-01-03,walk like an egyptian,1987
1483,bangles,1987-01-10,walk like an egyptian,1987
1484,gregory abbott,1987-01-17,shake you down,1987
1485,billy vera,1987-01-24,at this moment,1987
1486,billy vera,1987-01-31,at this moment,1987
1487,madonna,1987-02-07,open your heart,1987
1488,bon jovi,1987-02-14,livin  on a prayer,1987
1489,bon jovi,1987-02-21,livin  on a prayer,1987
1490,bon jovi,1987-02-28,livin  on a prayer,1987
1491,bon jovi,1987-03-07,livin  on a prayer,1987
1492,huey lewis,1987-03-14,jacob s ladder,1987
1493,club nouveau,1987-03-21,lean on me,1987
1494,club nouveau,1987-03-28,lean on me,1987
1495,starship,1987-04-04,nothing s gonna stop us now,1987
1496,starship,1987-04-11,nothing s gonna stop us now,1987
1497,aretha franklin,1987-04-18,i knew you were waiting (for me),1987
1498,aretha franklin,1987-04-25,i knew you were waiting (for me),1987
1499,cutting crew,1987-05-02,(i just) died in your arms,1987
1500,cutting crew,1987-05-09,(i just) died in your arms,1987
1501,u2,1987-05-16,with or without you,1987
1502,u2,1987-05-23,with or without you,1987
1503,u2,1987-05-30,with or without you,1987
1504,kim wilde,1987-06-06,you keep me hangin  on,1987
1505,atlantic starr,1987-06-13,always,1987
1506,lisa lisa,1987-06-20,head to toe,1987
1507,whitney houston,1987-06-27,i wanna dance with somebody (who loves me),1987
1508,whitney houston,1987-07-04,i wanna dance with somebody (who loves me),1987
1509,heart,1987-07-11,alone,1987
1510,heart,1987-07-18,alone,1987
1511,heart,1987-07-25,alone,1987
1512,bob seger,1987-08-01,"shakedown (from ""beverly hills cop ii"")",1987
1513,u2,1987-08-08,i still haven t found what i m looking for,1987
1514,u2,1987-08-15,i still haven t found what i m looking for,1987
1515,madonna,1987-08-22,who s that girl,1987
1516,los lobos,1987-08-29,la bamba,1987
1517,los lobos,1987-09-05,la bamba,1987
1518,los lobos,1987-09-12,la bamba,1987
1519,michael jackson with siedah garrett,1987-09-19,i just can t stop loving you,1987
1520,whitney houston,1987-09-26,didn t we almost have it all,1987
1521,whitney houston,1987-10-03,didn t we almost have it all,1987
1522,whitesnake,1987-10-10,here i go again,1987
1523,lisa lisa & cult jam featuring full force,1987-10-17,lost in emotion,1987
1524,michael jackson,1987-10-24,bad,1987
1525,michael jackson,1987-10-31,bad,1987
1526,tiffany,1987-11-07,i think we re alone now,1987
1527,tiffany,1987-11-14,i think we re alone now,1987
1528,billy idol,1987-11-21,mony mony,1987
1529,bill medley,1987-11-28,(i ve had) the time of my life,1987
1530,belinda carlisle,1987-12-05,heaven is a place on earth,1987
1531,george michael,1987-12-12,faith,1987
1532,george michael,1987-12-19,faith,1987
1533,george michael,1987-12-26,faith,1987
1534,george michael,1988-01-02,faith,1988
1535,whitney houston,1988-01-09,so emotional,1988
1536,george harrison,1988-01-16,got my mind set on you,1988
1537,michael jackson,1988-01-23,the way you make me feel,1988
1538,inxs,1988-01-30,need you tonight,1988
1539,tiffany,1988-02-06,could ve been,1988
1540,tiffany,1988-02-13,could ve been,1988
1541,expose,1988-02-20,seasons change,1988
1542,george michael,1988-02-27,father figure,1988
1543,george michael,1988-03-05,father figure,1988
1544,rick astley,1988-03-12,never gonna give you up,1988
1545,rick astley,1988-03-19,never gonna give you up,1988
1546,michael jackson,1988-03-26,man in the mirror,1988
1547,michael jackson,1988-04-02,man in the mirror,1988
1548,billy ocean,1988-04-09,"get outta my dreams, get into my car",1988
1549,billy ocean,1988-04-16,"get outta my dreams, get into my car",1988
1550,whitney houston,1988-04-23,where do broken hearts go,1988
1551,whitney houston,1988-04-30,where do broken hearts go,1988
1552,terence trent d arby,1988-05-07,wishing well,1988
1553,gloria estefan & miami sound machine,1988-05-14,anything for you,1988
1554,gloria estefan & miami sound machine,1988-05-21,anything for you,1988
1555,george michael,1988-05-28,one more try,1988
1556,george michael,1988-06-04,one more try,1988
1557,george michael,1988-06-11,one more try,1988
1558,rick astley,1988-06-18,together forever,1988
1559,debbie gibson,1988-06-25,foolish beat,1988
1560,michael jackson,1988-07-02,dirty diana,1988
1561,cheap trick,1988-07-09,the flame,1988
1562,cheap trick,1988-07-16,the flame,1988
1563,richard marx,1988-07-23,hold on to the nights,1988
